 ,pli2_10_1000_1000_1_0.2_0.1-0.out ,1 ,0.01 ,1496.0 ,1496.0 ,0.0000% ,
 ,pli2_10_1000_1000_1_0.2_0.1-1.out ,1 ,0.00 ,1496.0 ,1496.0 ,0.0000% ,
 ,pli2_10_1000_1000_1_0.2_0.1-2.out ,1 ,0.00 ,1496.0 ,1496.0 ,0.0000% ,
 ,pli2_10_1000_1000_1_0.2_0.25-0.out ,1 ,0.01 ,1992.0 ,1992.0 ,0.0000% ,
 ,pli2_10_1000_1000_1_0.2_0.25-1.out ,1 ,0.01 ,1992.0 ,1992.0 ,0.0000% ,
 ,pli2_10_1000_1000_1_0.2_0.25-2.out ,1 ,0.01 ,1992.0 ,1992.0 ,0.0000% ,
 ,pli2_10_1000_1000_1_0.2_0.5-0.out ,1 ,0.01 ,2454.0 ,2454.0 ,0.0000% ,
 ,pli2_10_1000_1000_1_0.2_0.5-1.out ,1 ,0.00 ,2454.0 ,2454.0 ,0.0000% ,
 ,pli2_10_1000_1000_1_0.2_0.5-2.out ,1 ,0.01 ,2454.0 ,2454.0 ,0.0000% ,
 ,pli2_10_1000_1000_1_0.2_1.0-0.out ,1 ,0.01 ,2584.0 ,2584.0 ,0.0000% ,
 ,pli2_10_1000_1000_1_0.2_1.0-1.out ,1 ,0.00 ,2584.0 ,2584.0 ,0.0000% ,
 ,pli2_10_1000_1000_1_0.2_1.0-2.out ,1 ,0.00 ,2584.0 ,2584.0 ,0.0000% ,
 ,pli2_10_1000_1000_2_0.2_0.1-0.out ,1 ,0.01 ,860.0 ,860.0 ,0.0000% ,
 ,pli2_10_1000_1000_2_0.2_0.1-1.out ,1 ,0.01 ,860.0 ,860.0 ,0.0000% ,
 ,pli2_10_1000_1000_2_0.2_0.1-2.out ,1 ,0.01 ,860.0 ,860.0 ,0.0000% ,
 ,pli2_10_1000_1000_2_0.2_0.25-0.out ,1 ,0.03 ,1716.0 ,1716.0 ,0.0000% ,
 ,pli2_10_1000_1000_2_0.2_0.25-1.out ,114 ,0.04 ,1716.0 ,1716.0 ,0.0000% ,
 ,pli2_10_1000_1000_2_0.2_0.25-2.out ,49 ,0.05 ,1716.0 ,1716.0 ,0.0000% ,
 ,pli2_10_1000_1000_2_0.2_0.5-0.out ,1 ,0.03 ,1943.0 ,1943.0 ,0.0000% ,
 ,pli2_10_1000_1000_2_0.2_0.5-1.out ,1 ,0.03 ,1943.0 ,1943.0 ,0.0000% ,
 ,pli2_10_1000_1000_2_0.2_0.5-2.out ,1 ,0.04 ,1943.0 ,1943.0 ,0.0000% ,
 ,pli2_10_1000_1000_2_0.2_1.0-0.out ,1 ,0.02 ,1959.0 ,1959.0 ,0.0000% ,
 ,pli2_10_1000_1000_2_0.2_1.0-1.out ,1 ,0.01 ,1959.0 ,1959.0 ,0.0000% ,
 ,pli2_10_1000_1000_2_0.2_1.0-2.out ,1 ,0.01 ,1959.0 ,1959.0 ,0.0000% ,
 ,pli2_10_1000_1000_3_0.2_0.1-0.out ,1 ,0.02 ,1738.0 ,1738.0 ,0.0000% ,
 ,pli2_10_1000_1000_3_0.2_0.1-1.out ,43 ,0.04 ,1738.0 ,1738.0 ,0.0000% ,
 ,pli2_10_1000_1000_3_0.2_0.1-2.out ,12 ,0.05 ,1738.0 ,1738.0 ,0.0000% ,
 ,pli2_10_1000_1000_3_0.2_0.25-0.out ,1 ,0.02 ,2246.0 ,2246.0 ,0.0000% ,
 ,pli2_10_1000_1000_3_0.2_0.25-1.out ,21 ,0.03 ,2246.0 ,2246.0 ,0.0000% ,
 ,pli2_10_1000_1000_3_0.2_0.25-2.out ,31 ,0.05 ,2246.0 ,2246.0 ,0.0000% ,
 ,pli2_10_1000_1000_3_0.2_0.5-0.out ,99 ,0.05 ,3088.0 ,3088.0 ,0.0000% ,
 ,pli2_10_1000_1000_3_0.2_0.5-1.out ,131 ,0.05 ,3088.0 ,3088.0 ,0.0000% ,
 ,pli2_10_1000_1000_3_0.2_0.5-2.out ,43 ,0.04 ,3088.0 ,3088.0 ,0.0000% ,
 ,pli2_10_1000_1000_3_0.2_1.0-0.out ,1 ,0.01 ,3212.0 ,3212.0 ,0.0000% ,
 ,pli2_10_1000_1000_3_0.2_1.0-1.out ,1 ,0.01 ,3212.0 ,3212.0 ,0.0000% ,
 ,pli2_10_1000_1000_3_0.2_1.0-2.out ,1 ,0.01 ,3212.0 ,3212.0 ,0.0000% ,
 ,pli2_10_1000_1000_4_0.2_0.1-0.out ,1 ,0.01 ,1406.0 ,1406.0 ,0.0000% ,
 ,pli2_10_1000_1000_4_0.2_0.1-1.out ,7 ,0.03 ,1406.0 ,1406.0 ,0.0000% ,
 ,pli2_10_1000_1000_4_0.2_0.1-2.out ,1 ,0.02 ,1406.0 ,1406.0 ,0.0000% ,
 ,pli2_10_1000_1000_4_0.2_0.25-0.out ,1 ,0.02 ,1799.0 ,1799.0 ,0.0000% ,
 ,pli2_10_1000_1000_4_0.2_0.25-1.out ,11 ,0.03 ,1799.0 ,1799.0 ,0.0000% ,
 ,pli2_10_1000_1000_4_0.2_0.25-2.out ,22 ,0.06 ,1799.0 ,1799.0 ,0.0000% ,
 ,pli2_10_1000_1000_4_0.2_0.5-0.out ,1 ,0.02 ,2263.0 ,2263.0 ,0.0000% ,
 ,pli2_10_1000_1000_4_0.2_0.5-1.out ,12 ,0.02 ,2263.0 ,2263.0 ,0.0000% ,
 ,pli2_10_1000_1000_4_0.2_0.5-2.out ,19 ,0.03 ,2263.0 ,2263.0 ,0.0000% ,
 ,pli2_10_1000_1000_4_0.2_1.0-0.out ,1 ,0.01 ,2398.0 ,2398.0 ,0.0000% ,
 ,pli2_10_1000_1000_4_0.2_1.0-1.out ,1 ,0.01 ,2398.0 ,2398.0 ,0.0000% ,
 ,pli2_10_1000_1000_4_0.2_1.0-2.out ,1 ,0.01 ,2398.0 ,2398.0 ,0.0000% ,
 ,pli2_10_1000_1000_5_0.2_0.1-0.out ,1 ,0.01 ,1340.0 ,1340.0 ,0.0000% ,
 ,pli2_10_1000_1000_5_0.2_0.1-1.out ,1 ,0.01 ,1340.0 ,1340.0 ,0.0000% ,
 ,pli2_10_1000_1000_5_0.2_0.1-2.out ,1 ,0.01 ,1340.0 ,1340.0 ,0.0000% ,
 ,pli2_10_1000_1000_5_0.2_0.25-0.out ,1 ,0.01 ,1690.0 ,1690.0 ,0.0000% ,
 ,pli2_10_1000_1000_5_0.2_0.25-1.out ,1 ,0.01 ,1690.0 ,1690.0 ,0.0000% ,
 ,pli2_10_1000_1000_5_0.2_0.25-2.out ,1 ,0.01 ,1690.0 ,1690.0 ,0.0000% ,
 ,pli2_10_1000_1000_5_0.2_0.5-0.out ,1 ,0.01 ,1899.0 ,1899.0 ,0.0000% ,
 ,pli2_10_1000_1000_5_0.2_0.5-1.out ,1 ,0.01 ,1899.0 ,1899.0 ,0.0000% ,
 ,pli2_10_1000_1000_5_0.2_0.5-2.out ,1 ,0.01 ,1899.0 ,1899.0 ,0.0000% ,
 ,pli2_10_1000_1000_5_0.2_1.0-0.out ,1 ,0.01 ,2177.0 ,2177.0 ,0.0000% ,
 ,pli2_10_1000_1000_5_0.2_1.0-1.out ,1 ,0.00 ,2177.0 ,2177.0 ,0.0000% ,
 ,pli2_10_1000_1000_5_0.2_1.0-2.out ,1 ,0.00 ,2177.0 ,2177.0 ,0.0000% ,
 ,pli2_30_1000_1000_1_0.2_0.1-0.out ,1665 ,0.59 ,2240.0 ,2240.0 ,0.0000% ,
 ,pli2_30_1000_1000_1_0.2_0.1-1.out ,649 ,0.42 ,2240.0 ,2240.0 ,0.0000% ,
 ,pli2_30_1000_1000_1_0.2_0.1-2.out ,640 ,0.41 ,2240.0 ,2240.0 ,0.0000% ,
 ,pli2_30_1000_1000_1_0.2_0.25-0.out ,4740 ,1.91 ,3491.0 ,3491.0 ,0.0000% ,
 ,pli2_30_1000_1000_1_0.2_0.25-1.out ,3411 ,1.64 ,3491.0 ,3491.0 ,0.0000% ,
 ,pli2_30_1000_1000_1_0.2_0.25-2.out ,3587 ,1.99 ,3491.0 ,3491.0 ,0.0000% ,
 ,pli2_30_1000_1000_1_0.2_0.5-0.out ,1543 ,0.73 ,4230.0 ,4230.0 ,0.0000% ,
 ,pli2_30_1000_1000_1_0.2_0.5-1.out ,1692 ,0.52 ,4230.0 ,4230.0 ,0.0000% ,
 ,pli2_30_1000_1000_1_0.2_0.5-2.out ,587 ,0.28 ,4230.0 ,4230.0 ,0.0000% ,
 ,pli2_30_1000_1000_1_0.2_1.0-0.out ,814 ,0.43 ,4571.0 ,4571.0 ,0.0000% ,
 ,pli2_30_1000_1000_1_0.2_1.0-1.out ,336 ,0.15 ,4571.0 ,4571.0 ,0.0000% ,
 ,pli2_30_1000_1000_1_0.2_1.0-2.out ,487 ,0.19 ,4571.0 ,4571.0 ,0.0000% ,
 ,pli2_30_1000_1000_2_0.2_0.1-0.out ,16657 ,6.22 ,2289.0 ,2289.0 ,0.0000% ,
 ,pli2_30_1000_1000_2_0.2_0.1-1.out ,13185 ,16.05 ,2289.0 ,2289.0 ,0.0000% ,
 ,pli2_30_1000_1000_2_0.2_0.1-2.out ,10548 ,11.82 ,2289.0 ,2289.0 ,0.0000% ,
 ,pli2_30_1000_1000_2_0.2_0.25-0.out ,11109 ,5.98 ,3116.0 ,3116.0 ,0.0000% ,
 ,pli2_30_1000_1000_2_0.2_0.25-1.out ,10204 ,11.36 ,3116.0 ,3116.0 ,0.0000% ,
 ,pli2_30_1000_1000_2_0.2_0.25-2.out ,9031 ,4.99 ,3116.0 ,3116.0 ,0.0000% ,
 ,pli2_30_1000_1000_2_0.2_0.5-0.out ,417 ,0.70 ,3886.0 ,3886.0 ,0.0000% ,
 ,pli2_30_1000_1000_2_0.2_0.5-1.out ,587 ,0.24 ,3886.0 ,3886.0 ,0.0000% ,
 ,pli2_30_1000_1000_2_0.2_0.5-2.out ,316 ,0.34 ,3886.0 ,3886.0 ,0.0000% ,
 ,pli2_30_1000_1000_2_0.2_1.0-0.out ,1 ,0.50 ,4388.0 ,4388.0 ,0.0000% ,
 ,pli2_30_1000_1000_2_0.2_1.0-1.out ,87 ,0.16 ,4388.0 ,4388.0 ,0.0000% ,
 ,pli2_30_1000_1000_2_0.2_1.0-2.out ,3 ,0.14 ,4388.0 ,4388.0 ,0.0000% ,
 ,pli2_30_1000_1000_3_0.2_0.1-0.out ,1 ,0.24 ,2028.0 ,2028.0 ,0.0000% ,
 ,pli2_30_1000_1000_3_0.2_0.1-1.out ,1 ,0.20 ,2028.0 ,2028.0 ,0.0000% ,
 ,pli2_30_1000_1000_3_0.2_0.1-2.out ,1 ,0.13 ,2028.0 ,2028.0 ,0.0000% ,
 ,pli2_30_1000_1000_3_0.2_0.25-0.out ,1010 ,0.87 ,3121.0 ,3121.0 ,0.0000% ,
 ,pli2_30_1000_1000_3_0.2_0.25-1.out ,438 ,0.37 ,3121.0 ,3121.0 ,0.0000% ,
 ,pli2_30_1000_1000_3_0.2_0.25-2.out ,319 ,0.31 ,3121.0 ,3121.0 ,0.0000% ,
 ,pli2_30_1000_1000_3_0.2_0.5-0.out ,10 ,0.45 ,3818.0 ,3818.0 ,0.0000% ,
 ,pli2_30_1000_1000_3_0.2_0.5-1.out ,335 ,0.22 ,3818.0 ,3818.0 ,0.0000% ,
 ,pli2_30_1000_1000_3_0.2_0.5-2.out ,107 ,0.27 ,3818.0 ,3818.0 ,0.0000% ,
 ,pli2_30_1000_1000_3_0.2_1.0-0.out ,1 ,0.39 ,4283.0 ,4283.0 ,0.0000% ,
 ,pli2_30_1000_1000_3_0.2_1.0-1.out ,59 ,0.13 ,4283.0 ,4283.0 ,0.0000% ,
 ,pli2_30_1000_1000_3_0.2_1.0-2.out ,226 ,0.14 ,4283.0 ,4283.0 ,0.0000% ,
 ,pli2_30_1000_1000_4_0.2_0.1-0.out ,7304 ,2.87 ,2234.0 ,2234.0 ,0.0000% ,
 ,pli2_30_1000_1000_4_0.2_0.1-1.out ,4903 ,2.69 ,2234.0 ,2234.0 ,0.0000% ,
 ,pli2_30_1000_1000_4_0.2_0.1-2.out ,3733 ,2.10 ,2234.0 ,2234.0 ,0.0000% ,
 ,pli2_30_1000_1000_4_0.2_0.25-0.out ,7072 ,4.30 ,3121.0 ,3121.0 ,0.0000% ,
 ,pli2_30_1000_1000_4_0.2_0.25-1.out ,3924 ,3.85 ,3121.0 ,3121.0 ,0.0000% ,
 ,pli2_30_1000_1000_4_0.2_0.25-2.out ,3920 ,4.87 ,3121.0 ,3121.0 ,0.0000% ,
 ,pli2_30_1000_1000_4_0.2_0.5-0.out ,1829 ,1.18 ,3818.0 ,3818.0 ,0.0000% ,
 ,pli2_30_1000_1000_4_0.2_0.5-1.out ,1247 ,1.35 ,3818.0 ,3818.0 ,0.0000% ,
 ,pli2_30_1000_1000_4_0.2_0.5-2.out ,2352 ,0.70 ,3818.0 ,3818.0 ,0.0000% ,
 ,pli2_30_1000_1000_4_0.2_1.0-0.out ,20 ,0.68 ,3978.0 ,3978.0 ,0.0000% ,
 ,pli2_30_1000_1000_4_0.2_1.0-1.out ,371 ,0.16 ,3978.0 ,3978.0 ,0.0000% ,
 ,pli2_30_1000_1000_4_0.2_1.0-2.out ,231 ,0.13 ,3978.0 ,3978.0 ,0.0000% ,
 ,pli2_30_1000_1000_5_0.2_0.1-0.out ,1 ,0.16 ,1972.0 ,1972.0 ,0.0000% ,
 ,pli2_30_1000_1000_5_0.2_0.1-1.out ,21 ,0.48 ,1972.0 ,1972.0 ,0.0000% ,
 ,pli2_30_1000_1000_5_0.2_0.1-2.out ,4 ,0.51 ,1972.0 ,1972.0 ,0.0000% ,
 ,pli2_30_1000_1000_5_0.2_0.25-0.out ,892 ,0.68 ,3168.0 ,3168.0 ,0.0000% ,
 ,pli2_30_1000_1000_5_0.2_0.25-1.out ,1042 ,0.51 ,3168.0 ,3168.0 ,0.0000% ,
 ,pli2_30_1000_1000_5_0.2_0.25-2.out ,1258 ,0.61 ,3168.0 ,3168.0 ,0.0000% ,
 ,pli2_30_1000_1000_5_0.2_0.5-0.out ,780 ,0.67 ,4013.0 ,4013.0 ,0.0000% ,
 ,pli2_30_1000_1000_5_0.2_0.5-1.out ,1175 ,0.40 ,4013.0 ,4013.0 ,0.0000% ,
 ,pli2_30_1000_1000_5_0.2_0.5-2.out ,51 ,0.34 ,4013.0 ,4013.0 ,0.0000% ,
 ,pli2_30_1000_1000_5_0.2_1.0-0.out ,1 ,0.24 ,4455.0 ,4455.0 ,0.0000% ,
 ,pli2_30_1000_1000_5_0.2_1.0-1.out ,231 ,0.12 ,4455.0 ,4455.0 ,0.0000% ,
 ,pli2_30_1000_1000_5_0.2_1.0-2.out ,1 ,0.19 ,4455.0 ,4455.0 ,0.0000% ,
 ,pli2_50_1000_1000_1_0.2_0.1-0.out ,69302 ,119.31 ,2925.0 ,2925.0 ,0.0000% ,
 ,pli2_50_1000_1000_1_0.2_0.1-1.out ,58387 ,158.72 ,2925.0 ,2925.0 ,0.0000% ,
 ,pli2_50_1000_1000_1_0.2_0.1-2.out ,25694 ,74.25 ,2925.0 ,2925.0 ,0.0000% ,
 ,pli2_50_1000_1000_1_0.2_0.25-0.out ,45153 ,107.80 ,4314.0 ,4314.0 ,0.0000% ,
 ,pli2_50_1000_1000_1_0.2_0.25-1.out ,84910 ,111.62 ,4314.0 ,4314.0 ,0.0000% ,
 ,pli2_50_1000_1000_1_0.2_0.25-2.out ,26771 ,58.75 ,4314.0 ,4314.0 ,0.0000% ,
 ,pli2_50_1000_1000_1_0.2_0.5-0.out ,8237 ,16.31 ,5297.0 ,5297.0 ,0.0000% ,
 ,pli2_50_1000_1000_1_0.2_0.5-1.out ,6408 ,8.55 ,5297.0 ,5297.0 ,0.0000% ,
 ,pli2_50_1000_1000_1_0.2_0.5-2.out ,4871 ,6.75 ,5297.0 ,5297.0 ,0.0000% ,
 ,pli2_50_1000_1000_1_0.2_1.0-0.out ,190 ,1.43 ,5506.0 ,5506.0 ,0.0000% ,
 ,pli2_50_1000_1000_1_0.2_1.0-1.out ,666 ,0.52 ,5506.0 ,5506.0 ,0.0000% ,
 ,pli2_50_1000_1000_1_0.2_1.0-2.out ,403 ,0.43 ,5506.0 ,5506.0 ,0.0000% ,
 ,pli2_50_1000_1000_2_0.2_0.1-0.out ,4093 ,15.58 ,2860.0 ,2860.0 ,0.0000% ,
 ,pli2_50_1000_1000_2_0.2_0.1-1.out ,4425 ,18.83 ,2860.0 ,2860.0 ,0.0000% ,
 ,pli2_50_1000_1000_2_0.2_0.1-2.out ,4187 ,19.38 ,2860.0 ,2860.0 ,0.0000% ,
 ,pli2_50_1000_1000_2_0.2_0.25-0.out ,4272 ,17.93 ,4145.0 ,4145.0 ,0.0000% ,
 ,pli2_50_1000_1000_2_0.2_0.25-1.out ,4031 ,11.66 ,4145.0 ,4145.0 ,0.0000% ,
 ,pli2_50_1000_1000_2_0.2_0.25-2.out ,2574 ,9.46 ,4145.0 ,4145.0 ,0.0000% ,
 ,pli2_50_1000_1000_2_0.2_0.5-0.out ,1988 ,8.30 ,4865.0 ,4865.0 ,0.0000% ,
 ,pli2_50_1000_1000_2_0.2_0.5-1.out ,1518 ,3.83 ,4865.0 ,4865.0 ,0.0000% ,
 ,pli2_50_1000_1000_2_0.2_0.5-2.out ,1437 ,4.05 ,4865.0 ,4865.0 ,0.0000% ,
 ,pli2_50_1000_1000_2_0.2_1.0-0.out ,1216 ,5.94 ,5366.0 ,5366.0 ,0.0000% ,
 ,pli2_50_1000_1000_2_0.2_1.0-1.out ,4803 ,2.84 ,5366.0 ,5366.0 ,0.0000% ,
 ,pli2_50_1000_1000_2_0.2_1.0-2.out ,2373 ,1.45 ,5366.0 ,5366.0 ,0.0000% ,
 ,pli2_50_1000_1000_3_0.2_0.1-0.out ,4958 ,4.37 ,2656.0 ,2656.0 ,0.0000% ,
 ,pli2_50_1000_1000_3_0.2_0.1-1.out ,3088 ,11.58 ,2656.0 ,2656.0 ,0.0000% ,
 ,pli2_50_1000_1000_3_0.2_0.1-2.out ,2765 ,8.21 ,2656.0 ,2656.0 ,0.0000% ,
 ,pli2_50_1000_1000_3_0.2_0.25-0.out ,6250 ,14.01 ,4035.0 ,4035.0 ,0.0000% ,
 ,pli2_50_1000_1000_3_0.2_0.25-1.out ,2817 ,9.36 ,4035.0 ,4035.0 ,0.0000% ,
 ,pli2_50_1000_1000_3_0.2_0.25-2.out ,1571 ,8.27 ,4035.0 ,4035.0 ,0.0000% ,
 ,pli2_50_1000_1000_3_0.2_0.5-0.out ,6297 ,9.84 ,5034.0 ,5034.0 ,0.0000% ,
 ,pli2_50_1000_1000_3_0.2_0.5-1.out ,1867 ,2.92 ,5034.0 ,5034.0 ,0.0000% ,
 ,pli2_50_1000_1000_3_0.2_0.5-2.out ,1868 ,3.18 ,5034.0 ,5034.0 ,0.0000% ,
 ,pli2_50_1000_1000_3_0.2_1.0-0.out ,2529 ,8.59 ,5468.0 ,5468.0 ,0.0000% ,
 ,pli2_50_1000_1000_3_0.2_1.0-1.out ,2948 ,1.49 ,5468.0 ,5468.0 ,0.0000% ,
 ,pli2_50_1000_1000_3_0.2_1.0-2.out ,845 ,0.79 ,5468.0 ,5468.0 ,0.0000% ,
 ,pli2_50_1000_1000_4_0.2_0.1-0.out ,91261 ,132.08 ,2748.0 ,2748.0 ,0.0000% ,
 ,pli2_50_1000_1000_4_0.2_0.1-1.out ,60546 ,300.11 ,2748.0 ,2697.0 ,1.8559% ,
 ,pli2_50_1000_1000_4_0.2_0.1-2.out ,54113 ,154.54 ,2748.0 ,2748.0 ,0.0000% ,
 ,pli2_50_1000_1000_4_0.2_0.25-0.out ,14678 ,18.30 ,4141.0 ,4141.0 ,0.0000% ,
 ,pli2_50_1000_1000_4_0.2_0.25-1.out ,9465 ,21.14 ,4141.0 ,4141.0 ,0.0000% ,
 ,pli2_50_1000_1000_4_0.2_0.25-2.out ,7450 ,21.98 ,4141.0 ,4141.0 ,0.0000% ,
 ,pli2_50_1000_1000_4_0.2_0.5-0.out ,50688 ,54.58 ,5321.0 ,5321.0 ,0.0000% ,
 ,pli2_50_1000_1000_4_0.2_0.5-1.out ,55031 ,138.44 ,5321.0 ,5321.0 ,0.0000% ,
 ,pli2_50_1000_1000_4_0.2_0.5-2.out ,39092 ,94.59 ,5321.0 ,5321.0 ,0.0000% ,
 ,pli2_50_1000_1000_4_0.2_1.0-0.out ,22604 ,30.70 ,5717.0 ,5717.0 ,0.0000% ,
 ,pli2_50_1000_1000_4_0.2_1.0-1.out ,10066 ,9.55 ,5717.0 ,5717.0 ,0.0000% ,
 ,pli2_50_1000_1000_4_0.2_1.0-2.out ,3392 ,4.09 ,5717.0 ,5717.0 ,0.0000% ,
 ,pli2_50_1000_1000_5_0.2_0.1-0.out ,25863 ,55.23 ,2998.0 ,2998.0 ,0.0000% ,
 ,pli2_50_1000_1000_5_0.2_0.1-1.out ,27355 ,110.52 ,2998.0 ,2998.0 ,0.0000% ,
 ,pli2_50_1000_1000_5_0.2_0.1-2.out ,14186 ,53.07 ,2998.0 ,2998.0 ,0.0000% ,
 ,pli2_50_1000_1000_5_0.2_0.25-0.out ,5125 ,15.93 ,4356.0 ,4356.0 ,0.0000% ,
 ,pli2_50_1000_1000_5_0.2_0.25-1.out ,9025 ,18.43 ,4356.0 ,4356.0 ,0.0000% ,
 ,pli2_50_1000_1000_5_0.2_0.25-2.out ,3318 ,12.53 ,4356.0 ,4356.0 ,0.0000% ,
 ,pli2_50_1000_1000_5_0.2_0.5-0.out ,1145 ,1.81 ,5490.999982734 ,5490.999982734 ,0.0000% ,
 ,pli2_50_1000_1000_5_0.2_0.5-1.out ,1039 ,0.89 ,5491.0 ,5491.0 ,0.0000% ,
 ,pli2_50_1000_1000_5_0.2_0.5-2.out ,961 ,0.84 ,5491.0 ,5491.0 ,0.0000% ,
 ,pli2_50_1000_1000_5_0.2_1.0-0.out ,1 ,0.72 ,5767.0 ,5767.0 ,0.0000% ,
 ,pli2_50_1000_1000_5_0.2_1.0-1.out ,159 ,0.35 ,5767.0 ,5767.0 ,0.0000% ,
 ,pli2_50_1000_1000_5_0.2_1.0-2.out ,453 ,0.47 ,5767.0 ,5767.0 ,0.0000% ,
