inst,	nnodes,	simpl_it,	time,	work,	obj,	bound,	gap,
10_1000_1000_2_0.2_1.0, 1, 35, 0.04, 0.00, 1695.0, 1695.0, 0.0000%
10_1000_1000_4_0.2_0.5, 82, 905, 0.11, 0.02, 2217.0, 2217.0, 0.0000%
10_1000_1000_5_0.2_0.25, 1, 37, 0.01, 0.00, 2036.0, 2036.0, 0.0000%
10_1000_1000_2_0.2_0.5, 1, 39, 0.03, 0.00, 1695.0, 1695.0, 0.0000%
10_1000_1000_1_0.2_0.5, 77, 490, 0.04, 0.01, 2468.0, 2468.0, 0.0000%
10_1000_1000_3_0.2_1.0, 1, 28, 0.01, 0.00, 2805.0, 2805.0, 0.0000%
10_1000_1000_3_0.2_0.1, 1, 70, 0.02, 0.00, 2447.0, 2447.0, 0.0000%
10_1000_1000_3_0.2_0.25, 1, 64, 0.01, 0.00, 2607.0, 2607.0, 0.0000%
10_1000_1000_5_0.2_1.0, 1, 64, 0.02, 0.00, 2205.0, 2205.0, 0.0000%
10_1000_1000_5_0.2_0.1, 1, 59, 0.01, 0.00, 1953.0, 1953.0, 0.0000%
10_1000_1000_5_0.2_0.5, 1, 61, 0.04, 0.00, 2173.0, 2173.0, 0.0000%
10_1000_1000_4_0.2_1.0, 122, 772, 0.07, 0.02, 2582.0, 2582.0, 0.0000%
10_1000_1000_1_0.2_1.0, 1, 60, 0.02, 0.00, 2818.0, 2818.0, 0.0000%
10_1000_1000_4_0.2_0.1, 1, 147, 0.04, 0.01, 1441.0, 1441.0, 0.0000%
10_1000_1000_1_0.2_0.1, 1, 127, 0.04, 0.01, 1777.0, 1777.0, 0.0000%
10_1000_1000_3_0.2_0.5, 1, 51, 0.03, 0.00, 2719.0, 2719.0, 0.0000%
10_1000_1000_2_0.2_0.25, 1, 36, 0.02, 0.00, 1632.0, 1632.0, 0.0000%
10_1000_1000_4_0.2_0.25, 79, 951, 0.07, 0.02, 1854.0, 1854.0, 0.0000%
10_1000_1000_1_0.2_0.25, 1, 114, 0.04, 0.01, 2043.0, 2043.0, 0.0000%
10_1000_1000_2_0.2_0.1, 1, 36, 0.03, 0.00, 1559.0, 1559.0, 0.0000%
30_1000_1000_5_0.2_0.5, 1249, 15016, 0.39, 0.18, 4652.0, 4652.0, 0.0000%
30_1000_1000_2_0.2_0.5, 4842, 117028, 2.96, 1.62, 4201.0, 4201.0, 0.0000%
30_1000_1000_5_0.2_1.0, 1249, 15016, 0.29, 0.18, 4652.0, 4652.0, 0.0000%
30_1000_1000_4_0.2_1.0, 4403, 59518, 1.48, 0.71, 4354.0, 4354.0, 0.0000%
30_1000_1000_3_0.2_0.5, 1, 721, 0.22, 0.04, 4077.0, 4077.0, 0.0000%
30_1000_1000_1_0.2_0.1, 612, 8406, 0.27, 0.13, 3952.0, 3952.0, 0.0000%
30_1000_1000_2_0.2_0.25, 8993, 286602, 5.52, 3.66, 3635.0, 3635.0, 0.0000%
30_1000_1000_1_0.2_0.25, 1143, 14207, 0.34, 0.20, 4239.0, 4239.0, 0.0000%
30_1000_1000_5_0.2_0.1, 1249, 15016, 0.32, 0.18, 4652.0, 4652.0, 0.0000%
30_1000_1000_3_0.2_0.1, 851, 8855, 0.23, 0.12, 3853.0, 3853.0, 0.0000%
30_1000_1000_4_0.2_0.5, 6010, 89105, 1.79, 0.98, 4212.0, 4212.0, 0.0000%
30_1000_1000_2_0.2_1.0, 190, 2617, 0.24, 0.12, 4418.0, 4418.0, 0.0000%
30_1000_1000_2_0.2_0.1, 4515, 100926, 2.95, 1.82, 3086.0, 3086.0, 0.0000%
30_1000_1000_4_0.2_0.25, 8640, 130275, 3.17, 1.34, 3935.0, 3935.0, 0.0000%
30_1000_1000_1_0.2_0.5, 1914, 21156, 0.40, 0.26, 4514.0, 4514.0, 0.0000%
30_1000_1000_5_0.2_0.25, 1249, 15016, 0.36, 0.18, 4652.0, 4652.0, 0.0000%
30_1000_1000_3_0.2_1.0, 87, 1254, 0.17, 0.05, 4210.0, 4210.0, 0.0000%
30_1000_1000_4_0.2_0.1, 5657, 91619, 2.11, 1.09, 3702.0, 3702.0, 0.0000%
30_1000_1000_3_0.2_0.25, 191, 1887, 0.22, 0.07, 3948.0, 3948.0, 0.0000%
30_1000_1000_1_0.2_1.0, 1, 371, 0.15, 0.02, 4596.0, 4596.0, 0.0000%
50_1000_1000_3_0.2_0.25, 60061, 8099799, 300.00, 252.95, 4331.0, 3914.0, 9.6283%
50_1000_1000_4_0.2_0.1, 33752, 2378621, 73.74, 56.42, 3292.0, 3292.0, 0.0000%
50_1000_1000_2_0.2_0.25, 2068, 32704, 2.02, 1.03, 5493.0, 5493.0, 0.0000%
50_1000_1000_1_0.2_1.0, 1200, 17542, 1.18, 0.65, 5548.0, 5548.0, 0.0000%
50_1000_1000_2_0.2_1.0, 2849, 49016, 2.21, 1.17, 5500.0, 5500.0, 0.0000%
50_1000_1000_4_0.2_1.0, 8976, 188242, 4.80, 3.11, 5733.0, 5733.0, 0.0000%
50_1000_1000_2_0.2_0.5, 4251, 67810, 2.41, 1.25, 5500.0, 5500.0, 0.0000%
50_1000_1000_3_0.2_0.5, 43682, 3768202, 121.19, 97.60, 5077.0, 5077.0, 0.0000%
50_1000_1000_4_0.2_0.25, 64511, 6040317, 150.57, 114.15, 4319.0, 4319.0, 0.0000%
50_1000_1000_4_0.2_0.5, 37110, 2210388, 81.93, 58.51, 5249.0, 5249.0, 0.0000%
50_1000_1000_5_0.2_0.5, 53495, 3861982, 123.06, 96.58, 5606.0, 5606.0, 0.0000%
50_1000_1000_5_0.2_1.0, 2865, 62354, 2.84, 1.62, 5972.0, 5972.0, 0.0000%
50_1000_1000_1_0.2_0.1, 1334, 22593, 2.60, 1.31, 5452.0, 5452.0, 0.0000%
50_1000_1000_5_0.2_0.25, 83125, 9187585, 300.01, 241.72, 4641.0, 4276.0, 7.8647%
50_1000_1000_3_0.2_1.0, 1216, 24357, 2.36, 1.24, 5394.0, 5394.0, 0.0000%
50_1000_1000_2_0.2_0.1, 2959, 39221, 1.98, 0.96, 5479.0, 5479.0, 0.0000%
50_1000_1000_1_0.2_0.25, 1137, 16421, 1.77, 0.97, 5493.0, 5493.0, 0.0000%
50_1000_1000_1_0.2_0.5, 1052, 16395, 1.35, 0.70, 5537.0, 5537.0, 0.0000%
50_1000_1000_5_0.2_0.1, 88652, 8380990, 300.01, 256.43, 3620.0, 3287.0, 9.1989%
50_1000_1000_3_0.2_0.1, 60654, 6971944, 300.01, 241.10, 3378.0, 3035.0, 10.1539%
100_1000_1000_1_0.2_0.25, 15187, 4624506, 300.01, 227.10, 6302.0, 5030.0, 20.1841%
100_1000_1000_1_0.2_1.0, 193219, 10177375, 300.01, 193.66, 7739.0, 7651.0, 1.1371%
100_1000_1000_4_0.2_0.5, 29662, 6009314, 300.01, 219.19, 7031.0, 6738.0, 4.1673%
100_1000_1000_4_0.2_1.0, 70020, 4976931, 162.75, 107.77, 7719.0, 7719.0, 0.0000%
100_1000_1000_4_0.2_0.25, 16539, 5013423, 300.01, 229.28, 5993.0, 5115.0, 14.6504%
100_1000_1000_5_0.2_0.1, 22401, 4852139, 300.02, 222.52, 5151.0, 3733.0, 27.5286%
100_1000_1000_3_0.2_1.0, 34861, 1611963, 67.79, 43.18, 7301.0, 7301.0, 0.0000%
100_1000_1000_2_0.2_0.25, 28719, 5661653, 300.00, 221.64, 6489.0, 5732.0, 11.6659%
100_1000_1000_2_0.2_1.0, 130330, 9282777, 300.01, 207.74, 7637.0, 7487.0, 1.9641%
100_1000_1000_5_0.2_1.0, 16081, 851415, 26.59, 15.13, 7938.0, 7938.0, 0.0000%
100_1000_1000_3_0.2_0.5, 105445, 5535206, 126.71, 80.30, 7208.0, 7208.0, 0.0000%
100_1000_1000_5_0.2_0.25, 14676, 4445684, 300.01, 231.74, 6327.0, 5300.00322047, 16.2320%
100_1000_1000_5_0.2_0.5, 30079, 4575352, 300.00, 213.16, 7578.0, 7147.0, 5.6875%
100_1000_1000_3_0.2_0.1, 34745, 1935175, 52.22, 33.40, 6657.0, 6657.0, 0.0000%
100_1000_1000_2_0.2_0.5, 45534, 6024717, 300.00, 211.61, 7258.0, 7060.0, 2.7280%
100_1000_1000_1_0.2_0.1, 13695, 4458705, 300.01, 222.99, 4821.0, 3685.0, 23.5636%
100_1000_1000_1_0.2_0.5, 24348, 5783022, 300.01, 222.94, 7141.0, 6731.0, 5.7415%
100_1000_1000_3_0.2_0.25, 51760, 2800755, 98.92, 64.23, 7002.0, 7002.0, 0.0000%
100_1000_1000_2_0.2_0.1, 39069, 3423825, 300.01, 207.65, 5479.0, 4998.0, 8.7790%
100_1000_1000_4_0.2_0.1, 22900, 5624413, 300.01, 234.67, 4821.0, 3826.0, 20.6389%
500_1000_1000_3_0.2_0.1, 3226, 531845, 300.01, 281.73, -, 6597.0, -
500_1000_1000_3_0.2_1.0, 9870, 1759295, 300.01, 297.81, -, 15840.0, -
500_1000_1000_4_0.2_0.25, 5187, 953483, 300.09, 352.48, -, 8960.0, -
500_1000_1000_1_0.2_0.25, 3750, 894341, 300.20, 386.12, -, 8760.0, -
500_1000_1000_5_0.2_1.0, 9233, 1600671, 300.01, 259.16, -, 16098.0, -
500_1000_1000_2_0.2_0.5, 5207, 902583, 300.01, 308.91, -, 13743.0, -
500_1000_1000_5_0.2_0.1, 3835, 988770, 300.01, 388.65, -, 5980.0, -
500_1000_1000_4_0.2_0.1, 3081, 806167, 300.21, 366.89, -, 6332.0, -
500_1000_1000_5_0.2_0.25, 5369, 1047482, 300.01, 390.30, -, 8631.0, -
500_1000_1000_4_0.2_0.5, 4630, 905863, 300.02, 318.92, -, 13556.0, -
500_1000_1000_1_0.2_0.1, 3726, 1113365, 300.01, 384.82, -, 5994.0, -
500_1000_1000_3_0.2_0.5, 4854, 815794, 300.12, 296.74, -, 13775.0, -
500_1000_1000_1_0.2_1.0, 10265, 2098189, 300.01, 291.64, -, 16105.0, -
500_1000_1000_1_0.2_0.5, 5291, 711913, 300.05, 267.20, -, 13702.0, -
500_1000_1000_5_0.2_0.5, 5194, 777671, 300.06, 311.87, -, 13779.0, -
500_1000_1000_2_0.2_0.1, 3809, 915057, 300.01, 368.30, -, 6094.0, -
500_1000_1000_2_0.2_1.0, 9087, 1730909, 300.00, 288.14, -, 16077.0, -
500_1000_1000_3_0.2_0.25, 4192, 875536, 300.01, 368.69, -, 8837.0, -
500_1000_1000_4_0.2_1.0, 10426, 1908897, 300.00, 285.21, -, 15686.0, -
500_1000_1000_2_0.2_0.25, 3139, 1039550, 300.01, 393.08, -, 8873.0, -
1000_1000_1000_4_0.2_0.25, 1, 89052, 300.04, 149.33, -, 11615.0, -
1000_1000_1000_4_0.2_0.1, 1, 104911, 300.01, 184.20, -, 7840.0, -
1000_1000_1000_4_0.2_0.5, 1, 92391, 300.02, 132.26, -, 17260.0, -
1000_1000_1000_3_0.2_0.1, 1, 106387, 300.04, 187.17, -, 7730.0, -
1000_1000_1000_5_0.2_0.5, 1, 94228, 300.07, 133.51, -, 17652.0, -
1000_1000_1000_2_0.2_1.0, 3015, 586599, 300.03, 186.51, -, 22710.0, -
1000_1000_1000_5_0.2_0.1, 1, 108353, 300.02, 184.07, -, 8227.0, -
1000_1000_1000_1_0.2_1.0, 3399, 600646, 300.03, 179.60, -, 22272.0, -
1000_1000_1000_4_0.2_1.0, 2508, 491920, 300.04, 177.43, -, 22280.0, -
1000_1000_1000_2_0.2_0.25, 1, 85136, 300.05, 146.53, -, 11660.0, -
1000_1000_1000_2_0.2_0.5, 1, 85630, 300.04, 128.75, -, 17484.0, -
1000_1000_1000_2_0.2_0.1, 1, 94855, 300.01, 181.59, -, 7712.0, -
1000_1000_1000_1_0.2_0.25, 1, 85870, 300.02, 148.83, -, 11845.0, -
1000_1000_1000_3_0.2_0.5, 1, 90999, 300.02, 131.77, -, 17664.0, -
1000_1000_1000_1_0.2_0.1, 1, 106679, 300.01, 186.12, -, 7859.0, -
1000_1000_1000_5_0.2_1.0, 2681, 562705, 300.06, 181.23, -, 22697.0, -
1000_1000_1000_3_0.2_1.0, 2793, 562268, 300.03, 182.44, -, 22656.0, -
1000_1000_1000_3_0.2_0.25, 1, 87328, 300.11, 151.91, -, 11776.0, -
1000_1000_1000_1_0.2_0.5, 1, 90442, 300.03, 132.35, -, 17415.0, -
1000_1000_1000_5_0.2_0.25, 1, 89945, 300.06, 148.91, -, 12046.0, -
